word,meaning
compromise,"타협, 양보; 화해; 절충안; 타협시키다; 더럽히다, 손상하다; 타협하다, 화해하다"
conceal,"숨기다, 비밀로 하다; 숨김, 은닉"
concede,"인정하다, 시인하다; 양보하다"
conceit,"자부심; 자만심; 우쭐대다"
concentrate,"집중하다; 모으다, 집중시키다; 군대를 집결시키다"
concert,"협조, 제휴, 협력; 일치; 콘서트, 음악회; 을 계획하다"
concoct,"을 꾸미다, 꾀하다; 날조하다, 꾸며내다; 을 섞어서 만들다, 조리하다"
concord,"일치; 조화, 화합; 협정, 협약"
condense,"요약하다; 농축하다; 줄어들다, 응축하다"
conduct,"실시하다; 처신하다, 행동하다; 를 지휘하다: 전도하다: 안내하다; 행위, 품행, 거동; 지휘"
confer,"협의하다; 수여하다, 주다; 비교하라"
confidential,"기밀의, 비밀의, 내밀한; 비밀을 터 놓는, 친밀한, 허물없는: 심복의, 신임이 두터운"
confine,"한정하다, 제한하다; 가두다, 감금하다"
conflict,"대립하다, 충돌하다: 싸우다, 다투다; 싸움, 전투: 충돌"
conform,"따르게하다, 순응하다; 들어맞게 하다, 합치시키다"
congenial,"알맞은, 쾌적한, 기분좋은; 같은, 마음이 맞는"
congest,"붐비다, 혼잡하다; 붐비게 하다, 정체시키다"
congregate,"모으다; 모이다; 모인"
congruous,"일치하는, 조화하는; 적절한, 적당한"
conjugal,"부부간의, 혼인상의"
conscience,"양심, 선악의 판단력"
conscript,"징집하다; 징발하다; 징집병"
consecutive,"논리가 일관된; 연속적인, 계속적인"
consensus,"총의, 여론, 대다수의 의견; 일치, 합의"
conserve,"보존하다, 유지하다; 설탕절임, 잼"
