word,meaning
fanatic,열광자, 광신자, 매니아; 광적인, 열렬하게 좋아하는
far-fetched,부자연스러운, 억지의; 에두른, 빙 둘러서 말하는
fascinate,매혹하다. 반하게 하다. 황홀하게 하다
fastidious,까다로운, 가리는, 꼼꼼한
fathom,남의 마음을 헤아리다: 재다: 탐색하다; 두 팔을 벌린 길이; 깊이 이해, 통찰
fatuous,얼빠진; 어리석은, 바보같은
faulty,결점이 있는, 불완전한; 부적절한
feasible,실행할 수 있는 가능한; 그럴싸한, 있음직한
feeble,연약한, 허약한
felicity,더할 수 없는 행복 경사, 길사
ferocious,사나운, 흉포한; 잔인한
fertile,기름진, 비옥한; 다산의
fervent,열렬한, 강렬한: 격한
fiasco,연극·연주 등에서의 큰 실수: 대실패
fickle,마음이 잘 변하는, 변덕스러운
fictitious,거짓의, 허구의, 허위의
fidelity,충실, 성실, 충성; 정절
figurehead,명목상의 두목, 표면상의 대표
firsthand,직접의, 직접 얻은, 직접 구입한; 직접, 바로; 직접 체험에 의해서
flair,천부적인 재능, 재간; 예리한 육감; 세련됨
flake,얇은 조각, 박편, 파편; 플레이크; 엷은 조각으로 벗기다
flatter,아첨하다. 알랑거리다: 추켜세우다
flaw,결점, 약점, 결함
flippant,경박한, 까불까불한; 경솔한
flourish,번창하다. 융성하다
