word,meaning
milestone,이정표, 획기적인 사건
minute,미소한, 미세한 상세한, 정밀한; 사소한, 하찮은; 분, 순간
misgiving,의심, 걱정, 불안, 염려
misnomer,잘못된 명칭, 오칭: 오기
mnemonic,기억을 돕는; 기억의
modify,변경하다. 수정하다: 개조하다; 완화하다. 조절하다
momentous,중대한, 중요한
monetary,금전의; 금융의, 재정의
monk,수도사: 성직자
morbid,무서운, 무시무시한; 병적인; 병적으로 음울한
moribund,다 죽어가는, 소멸해 가는; 침체한, 정체한
multiracial,다민족의, 여러 민족으로 이루어진; 혼혈인
mundane,현세의 세속적인; 평범한 흔히 있는, 일상적인
mutable,변하기 쉬운, 변덕스러운
mutilate,절단하다. 불구로 만들다; 못쓰게 만들다
nadir,밑바닥, 구렁텅이; 천저
nascent,발생하려고 하는; 초기의
nebulous,희미한, 불투명한; 모호한, 막연한
negation,부정, 부인; 거절
negligence,태만, 부주의; 무관심
nervous,신경질적인, 신경과민인, 초조한; 신경에 작용하는, 신경성의
nocturnal,밤의, 야간의 야행성의
notorious,유명한, 악명 높은
novice,초심자, 신출내기, 풋내기
nullify,무효로 하다, 파기하다
